user,mutant_id,timestamp
f4220330-7c22-4287-8947-4c84556b88e0,1,2026-04-16 09:06:18.439
f4220330-7c22-4287-8947-4c84556b88e0,2,2026-04-16 09:06:18.493
f4220330-7c22-4287-8947-4c84556b88e0,3,2026-04-16 09:06:18.501
f4220330-7c22-4287-8947-4c84556b88e0,4,2026-04-16 09:06:18.509
f4220330-7c22-4287-8947-4c84556b88e0,5,2026-04-16 09:06:18.517
f4220330-7c22-4287-8947-4c84556b88e0,6,2026-04-16 09:06:18.534
f4220330-7c22-4287-8947-4c84556b88e0,7,2026-04-16 09:06:18.542
f4220330-7c22-4287-8947-4c84556b88e0,8,2026-04-16 09:06:18.550
f4220330-7c22-4287-8947-4c84556b88e0,9,2026-04-16 09:06:18.558
f4220330-7c22-4287-8947-4c84556b88e0,10,2026-04-16 09:06:18.567
f4220330-7c22-4287-8947-4c84556b88e0,11,2026-04-16 09:06:18.575
f4220330-7c22-4287-8947-4c84556b88e0,12,2026-04-16 09:06:18.584
f4220330-7c22-4287-8947-4c84556b88e0,13,2026-04-16 09:06:18.611
f4220330-7c22-4287-8947-4c84556b88e0,14,2026-04-16 09:06:18.626
f4220330-7c22-4287-8947-4c84556b88e0,15,2026-04-16 09:06:18.634
f4220330-7c22-4287-8947-4c84556b88e0,16,2026-04-16 09:06:18.642
f4220330-7c22-4287-8947-4c84556b88e0,17,2026-04-16 09:06:18.650
f4220330-7c22-4287-8947-4c84556b88e0,18,2026-04-16 09:06:18.659
70e85b5e-92d4-498a-9079-ba881f5b3b82,77,2026-04-16 10:18:50.824
70e85b5e-92d4-498a-9079-ba881f5b3b82,78,2026-04-16 10:18:50.879
70e85b5e-92d4-498a-9079-ba881f5b3b82,79,2026-04-16 10:18:50.888
70e85b5e-92d4-498a-9079-ba881f5b3b82,83,2026-04-16 10:18:50.896
70e85b5e-92d4-498a-9079-ba881f5b3b82,85,2026-04-16 10:18:50.905
70e85b5e-92d4-498a-9079-ba881f5b3b82,86,2026-04-16 10:18:50.913
70e85b5e-92d4-498a-9079-ba881f5b3b82,89,2026-04-16 10:18:50.922
70e85b5e-92d4-498a-9079-ba881f5b3b82,90,2026-04-16 10:18:50.929
70e85b5e-92d4-498a-9079-ba881f5b3b82,91,2026-04-16 10:18:50.938
70e85b5e-92d4-498a-9079-ba881f5b3b82,92,2026-04-16 10:18:50.971
